"quarter","gross_quarterly","inflation_quarterly","year","qtr"
"1948Q1",1.003861003861,0.00386100386100385,1948,1
"1948Q2",1.01666666666667,0.0166666666666668,1948,2
"1948Q3",1.01008827238335,0.0100882723833544,1948,3
"1948Q4",1.00998751560549,0.00998751560549316,1948,4
"1949Q1",1.02843016069221,0.0284301606922126,1949,1
"1949Q2",1.02764423076923,0.0276442307692308,1949,2
"1949Q3",1.0093567251462,0.00935672514619879,1949,3
"1949Q4",1.01738122827346,0.0173812282734647,1949,4
"1950Q1",1.00911161731207,0.00911161731207288,1950,1
"1950Q2",0.977426636568849,-0.0225733634311512,1950,2
"1950Q3",1.03233256351039,0.0323325635103928,1950,3
"1950Q4",1.02572706935123,0.0257270693512304,1950,4
"1951Q1",1.05997818974918,0.059978189749182,1951,1
"1951Q2",1.04012345679012,0.0401234567901232,1951,2
"1951Q3",1.01483679525223,0.0148367952522257,1951,3
"1951Q4",1.03021442495127,0.0302144249512668,1951,4
"1952Q1",1.09555345316935,0.0955534531693469,1952,1
"1952Q2",1.02072538860104,0.0207253886010363,1952,2
"1952Q3",1.01269035532995,0.0126903553299493,1952,3
"1952Q4",1.02589807852966,0.0258980785296574,1952,4
"1953Q1",1.05130293159609,0.0513029315960911,1953,1
"1953Q2",1.0294345468629,0.0294345468628969,1953,2
"1953Q3",1.03536493604214,0.0353649360421369,1953,3
"1953Q4",1.00581395348837,0.0058139534883721,1953,4
"1954Q1",1.08959537572254,0.0895953757225434,1954,1
"1954Q2",1.04111405835544,0.0411140583554375,1954,2
"1954Q3",1.04012738853503,0.0401273885350317,1954,3
"1954Q4",1.03796693202694,0.0379669320269442,1954,4
"1955Q1",1.09144542772861,0.0914454277286134,1955,1
"1955Q2",1.02972972972973,0.0297297297297296,1955,2
"1955Q3",1.02834645669291,0.0283464566929135,1955,3
"1955Q4",1.04389994895355,0.0438999489535474,1955,4
"1956Q1",1.09486552567237,0.0948655256723716,1956,1
"1956Q2",1.03796337650737,0.0379633765073693,1956,2
"1956Q3",1.05378657487091,0.0537865748709121,1956,3
"1956Q4",1.04736627194773,0.0473662719477337,1956,4
"1957Q1",1.10331384015595,0.103313840155946,1957,1
"1957Q2",1.01625441696113,0.0162544169611305,1957,2
"1957Q3",1.00556328233658,0.00556328233657855,1957,3
"1957Q4",1.01348547717842,0.0134854771784232,1957,4
"1958Q1",1.06345957011259,0.0634595701125893,1958,1
"1958Q2",1.03753609239654,0.0375360923965353,1958,2
"1958Q3",1.02875695732839,0.0287569573283859,1958,3
"1958Q4",1.04207995190863,0.0420799519086266,1958,4
"1959Q1",1.15027401211422,0.15027401211422,1959,1
"1959Q2",1.05265797392177,0.0526579739217656,1959,2
"1959Q3",1.03716055264412,0.0371605526441161,1959,3
"1959Q4",1.06775378961874,0.0677537896187412,1959,4
"1960Q1",1.11206711120671,0.112067111206711,1960,1
