"quarter","year","qtr","annual_percent","quarterly_rate","quarter_index"
"1964Q1",1964,1,3.53,0.00871052772452696,7857
"1964Q2",1964,2,3.47666666666667,0.00858059367002051,7858
"1964Q3",1964,3,3.49666666666667,0.00862932482518652,7859
"1964Q4",1964,4,3.68333333333333,0.00908380870450887,7860
"1965Q1",1965,1,3.89,0.00958627202580931,7861
"1965Q2",1965,2,3.87333333333333,0.00954577859468819,7862
"1965Q3",1965,3,3.86666666666667,0.00952957985781278,7863
"1965Q4",1965,4,4.16666666666667,0.0102577523383116,7864
"1966Q1",1966,1,4.61,0.0113309552704077,7865
"1966Q2",1966,2,4.58666666666667,0.0112745560343055,7866
"1966Q3",1966,3,5.04333333333333,0.0123766590555663,7867
"1966Q4",1966,4,5.21,0.012777991386427,7868
"1967Q1",1967,1,4.51333333333333,0.0110972398330493,7869
"1967Q2",1967,2,3.66,0.00902703179688613,7870
"1967Q3",1967,3,4.3,0.0105808797592317,7871
"1967Q4",1967,4,4.75333333333333,0.0116772008859083,7872
"1968Q1",1968,1,5.05,0.0123927215149591,7873
"1968Q2",1968,2,5.52,0.0135232030258117,7874
"1968Q3",1968,3,5.19666666666667,0.0127459023541359,7875
"1968Q4",1968,4,5.58666666666667,0.0136832490148233,7876
"1969Q1",1969,1,6.09333333333333,0.0148971283350212,7877
"1969Q2",1969,2,6.19666666666667,0.0151441618138084,7878
"1969Q3",1969,3,7.02333333333333,0.0171139675840102,7879
"1969Q4",1969,4,7.35333333333333,0.0178971150283984,7880
"1970Q1",1970,1,7.21,0.0175571821919935,7881
"1970Q2",1970,2,6.67666666666667,0.016289314194468,7882
"1970Q3",1970,3,6.32666666666667,0.015454689930243,7883
"1970Q4",1970,4,5.35333333333333,0.0131227560049589,7884
"1971Q1",1971,1,3.84,0.00946477711139559,7885
"1971Q2",1971,2,4.25,0.0104597433015858,7886
"1971Q3",1971,3,5.01,0.0122963352881786,7887
"1971Q4",1971,4,4.23,0.0104112765175868,7888
"1972Q1",1972,1,3.43666666666667,0.00848311016352543,7889
"1972Q2",1972,2,3.77,0.00929461049833158,7890
"1972Q3",1972,3,4.22,0.0103870405099291,7891
"1972Q4",1972,4,4.86333333333333,0.0119426833615661,7892
"1973Q1",1973,1,5.7,0.0139551533465323,7893
"1973Q2",1973,2,6.60333333333333,0.0161146107998624,7894
"1973Q3",1973,3,8.32333333333333,0.0201886885171263,7895
"1973Q4",1973,4,7.5,0.01824460109857,7896
"1974Q1",1974,1,7.61666666666667,0.0185207566501067,7897
"1974Q2",1974,2,8.15333333333333,0.0197881879214166,7898
"1974Q3",1974,3,8.19,0.0198746103170764,7899
"1974Q4",1974,4,7.36,0.0179129175715815,7900
"1975Q1",1975,1,5.75,0.0140750416316124,7901
"1975Q2",1975,2,5.39333333333333,0.013218906597396,7902
"1975Q3",1975,3,6.33,0.0154626484445091,7903
"1975Q4",1975,4,5.62666666666667,0.0137792402328007,7904
"1976Q1",1976,1,4.91666666666667,0.0120713269596977,7905
"1976Q2",1976,2,5.15666666666667,0.0126496169513757,7906
"1976Q3",1976,3,5.15,0.012633566713752,7907
"1976Q4",1976,4,4.67333333333333,0.0114839913661553,7908
"1977Q1",1977,1,4.63,0.0113792899638463,7909
"1977Q2",1977,2,4.84,0.0118863863565002,7910
"1977Q3",1977,3,5.49666666666667,0.0134671690132593,7911
"1977Q4",1977,4,6.11,0.0149369846465166,7912
"1978Q1",1978,1,6.39333333333333,0.0156138246752087,7913
"1978Q2",1978,2,6.47666666666667,0.0158126379728332,7914
"1978Q3",1978,3,7.31333333333333,0.017802284310009,7915
"1978Q4",1978,4,8.57,0.0207689696374453,7916
"1979Q1",1979,1,9.38333333333333,0.0226753509117117,7917
"1979Q2",1979,2,9.37666666666667,0.0226597681183947,7918
"1979Q3",1979,3,9.67333333333333,0.023352514057257,7919
"1979Q4",1979,4,11.8433333333333,0.0283774039599833,7920
"1980Q1",1980,1,13.3533333333333,0.0318310057100684,7921
"1980Q2",1980,2,9.61666666666667,0.0232203004794487,7922
"1980Q3",1980,3,9.15333333333333,0.0221373324099063,7923
"1980Q4",1980,4,13.6133333333333,0.032422178475507,7924
