observation_date,TB3MS
1/1/1964,3.52
2/1/1964,3.53
3/1/1964,3.54
4/1/1964,3.47
5/1/1964,3.48
6/1/1964,3.48
7/1/1964,3.46
8/1/1964,3.5
9/1/1964,3.53
10/1/1964,3.57
11/1/1964,3.64
12/1/1964,3.84
1/1/1965,3.81
2/1/1965,3.93
3/1/1965,3.93
4/1/1965,3.93
5/1/1965,3.89
6/1/1965,3.8
7/1/1965,3.84
8/1/1965,3.84
9/1/1965,3.92
10/1/1965,4.03
11/1/1965,4.09
12/1/1965,4.38
1/1/1966,4.59
2/1/1966,4.65
3/1/1966,4.59
4/1/1966,4.62
5/1/1966,4.64
6/1/1966,4.5
7/1/1966,4.8
8/1/1966,4.96
9/1/1966,5.37
10/1/1966,5.35
11/1/1966,5.32
12/1/1966,4.96
1/1/1967,4.72
2/1/1967,4.56
3/1/1967,4.26
4/1/1967,3.84
5/1/1967,3.6
6/1/1967,3.54
7/1/1967,4.21
8/1/1967,4.27
9/1/1967,4.42
10/1/1967,4.56
11/1/1967,4.73
12/1/1967,4.97
1/1/1968,5
2/1/1968,4.98
3/1/1968,5.17
4/1/1968,5.38
5/1/1968,5.66
6/1/1968,5.52
7/1/1968,5.31
8/1/1968,5.09
9/1/1968,5.19
10/1/1968,5.35
11/1/1968,5.45
12/1/1968,5.96
1/1/1969,6.14
2/1/1969,6.12
3/1/1969,6.02
4/1/1969,6.11
5/1/1969,6.04
6/1/1969,6.44
7/1/1969,7
8/1/1969,6.98
9/1/1969,7.09
10/1/1969,7
11/1/1969,7.24
12/1/1969,7.82
1/1/1970,7.87
2/1/1970,7.13
3/1/1970,6.63
4/1/1970,6.51
5/1/1970,6.84
6/1/1970,6.68
7/1/1970,6.45
8/1/1970,6.41
9/1/1970,6.12
10/1/1970,5.91
11/1/1970,5.28
12/1/1970,4.87
1/1/1971,4.44
2/1/1971,3.7
3/1/1971,3.38
4/1/1971,3.86
5/1/1971,4.14
6/1/1971,4.75
7/1/1971,5.4
8/1/1971,4.94
9/1/1971,4.69
10/1/1971,4.46
11/1/1971,4.22
12/1/1971,4.01
1/1/1972,3.38
2/1/1972,3.2
3/1/1972,3.73
4/1/1972,3.71
5/1/1972,3.69
6/1/1972,3.91
7/1/1972,3.98
8/1/1972,4.02
9/1/1972,4.66
10/1/1972,4.74
11/1/1972,4.78
12/1/1972,5.07
1/1/1973,5.41
2/1/1973,5.6
3/1/1973,6.09
4/1/1973,6.26
5/1/1973,6.36
6/1/1973,7.19
7/1/1973,8.01
8/1/1973,8.67
9/1/1973,8.29
10/1/1973,7.22
11/1/1973,7.83
12/1/1973,7.45
1/1/1974,7.77
2/1/1974,7.12
3/1/1974,7.96
4/1/1974,8.33
5/1/1974,8.23
6/1/1974,7.9
7/1/1974,7.55
8/1/1974,8.96
9/1/1974,8.06
10/1/1974,7.46
11/1/1974,7.47
12/1/1974,7.15
1/1/1975,6.26
2/1/1975,5.5
3/1/1975,5.49
4/1/1975,5.61
5/1/1975,5.23
6/1/1975,5.34
7/1/1975,6.13
8/1/1975,6.44
9/1/1975,6.42
10/1/1975,5.96
11/1/1975,5.48
12/1/1975,5.44
1/1/1976,4.87
2/1/1976,4.88
3/1/1976,5
4/1/1976,4.86
5/1/1976,5.2
6/1/1976,5.41
7/1/1976,5.23
8/1/1976,5.14
9/1/1976,5.08
10/1/1976,4.92
11/1/1976,4.75
12/1/1976,4.35
1/1/1977,4.62
2/1/1977,4.67
3/1/1977,4.6
4/1/1977,4.54
5/1/1977,4.96
6/1/1977,5.02
7/1/1977,5.19
8/1/1977,5.49
9/1/1977,5.81
10/1/1977,6.16
11/1/1977,6.1
12/1/1977,6.07
1/1/1978,6.44
2/1/1978,6.45
3/1/1978,6.29
4/1/1978,6.29
5/1/1978,6.41
6/1/1978,6.73
7/1/1978,7.01
8/1/1978,7.08
9/1/1978,7.85
10/1/1978,7.99
11/1/1978,8.64
12/1/1978,9.08
1/1/1979,9.35
2/1/1979,9.32
3/1/1979,9.48
4/1/1979,9.46
5/1/1979,9.61
6/1/1979,9.06
7/1/1979,9.24
8/1/1979,9.52
9/1/1979,10.26
10/1/1979,11.7
11/1/1979,11.79
12/1/1979,12.04
1/1/1980,12
2/1/1980,12.86
3/1/1980,15.2
4/1/1980,13.2
5/1/1980,8.58
6/1/1980,7.07
7/1/1980,8.06
8/1/1980,9.13
9/1/1980,10.27
10/1/1980,11.62
11/1/1980,13.73
12/1/1980,15.49
