"dynare_name","symbol","block","classification","baseline_value","research_value","status","method","sample","raw_or_primary_data","source_or_literature","standard_error","shock_sd","notes"
"beta","β","Households / preferences","Calibrated",0.99,,"TODO","","","","",,,""
"sigma","σ","Households / preferences","Calibrated",1.5,,"TODO","","","","",,,""
"varphi","φ","Households / preferences","Calibrated",1,,"TODO","","","","",,,""
"alpha","α","Open economy / consumption","Calibrated",0.1,,"TODO","","","","",,,""
"eta","η","Open economy / consumption","Calibrated",0.8,,"TODO","","","","",,,""
"mu","μ","Production / imported inputs","Calibrated",0.12,,"TODO","","","","",,,""
"lambda_s","λ_s","Production / imported inputs","Fixed / derived",0.208,,"DERIVED FORMULA — verify when primitive parameters change","lambda_s = mu + (1-mu)*alpha","","","",,,""
"theta","θ","Price setting","Estimated",0.75,,"TODO","","","","",,,""
"gammaI","γ_I","Price setting / indexation","Estimated",0.7,,"TODO","","","","",,,""
"kappa","κ","Price setting","Fixed / derived",0.0858333333,,"DERIVED FORMULA — verify when primitive parameters change","kappa = ((1-theta)*(1-beta*theta))/theta","","","",,,""
"eta_x","η_x","Trade","Calibrated",0.7,,"TODO","","","","",,,""
"cH_y","C_H/Y","Steady-state shares","Calibrated",0.68,,"TODO","","","","",,,""
"x_y","X/Y","Steady-state shares","Calibrated",0.12,,"TODO","","","","",,,""
"g_y","G^C/Y","Steady-state shares","Calibrated",0.14,,"TODO","","","","",,,""
"ig_y","I^G/Y","Steady-state shares","Calibrated",0.06,,"TODO","","","","",,,""
"cf_y","C_F/Y","Steady-state shares","Calibrated",0.05,,"TODO","","","","",,,""
"z_y","P_Z Z/Y","Steady-state shares","Calibrated",0.07,,"TODO","","","","",,,""
"rhoF","ρ_F","Foreign shocks","Estimated",0.75,,"TODO","","","","",,,""
"rhoiw","ρ_{i*}","Foreign shocks","Estimated",0.85,0.862905157460886,"FIRST-STAGE ESTIMATE COMPLETE","OLS AR(1) on quarterly effective rate","1964Q1-1972Q4","data/raw/TB3MS.csv","FRED series TB3MS",0.0809055828614261,0.00129777268138612,"Recommended pre-shock persistence estimate from 1964Q1-1972Q4. Robustness estimates: output/estimates/world_interest_rate_ar1.csv."
"phiD","φ_D","External debt / risk premium","Estimated",0.03,,"TODO","","","","",,,""
"phiDD","φ_{ΔD}","External debt / risk premium","Estimated",0.05,,"TODO","","","","",,,""
"dbar","d̄*","External debt / steady state","Calibrated",0.25,,"TODO","","","","",,,""
"rstar_ss","r̄*","External debt / steady state","Fixed / derived",0.0125,0.012521728337025,"FIRST-STAGE DERIVED ESTIMATE COMPLETE","Implied AR(1) steady state: constant / (1 - rhoiw)","1964Q1-1972Q4","data/raw/TB3MS.csv","FRED series TB3MS",,,"Steady-state quarterly foreign interest rate implied by estimated AR(1). Derived from the same recommended pre-shock AR(1) used to estimate rhoiw. Not independently estimated."
"rhoi","ρ_i","Monetary policy","Estimated",0.75,,"TODO","","","","",,,""
"phiPi","φ_π","Monetary policy","Estimated",0.35,,"TODO","","","","",,,""
"phiE","φ_E","Monetary policy","Estimated",0.65,,"TODO","","","","",,,""
"eta_mc","η_mc","Money demand / MIU","Estimated",0.75,,"TODO","","","","",,,""
"eta_mi","η_mi","Money demand / MIU","Estimated",4,,"TODO","","","","",,,""
"money_y","M/PY","Money / steady state","Calibrated",0.08,,"TODO","","","","",,,""
"Pi_ss","Π̄","Inflation / steady state","Calibrated",1.04663513939211,1.04899525109158,"CALIBRATION COMPLETE","Geometric mean of quarterly gross IGPC-Mtb inflation","1968Q1-1972Q4","data/raw/IGPC_ipeadata.csv","IPEAdata / IGPC-Mtb series GAMMA12_IGPCMTB12",,,"Recommended pre-oil-shock baseline. Robustness windows: 1967Q1-1972Q4 and 1964Q1-1972Q4. 1948Q1-1972Q4 retained for descriptive comparison only. See output/estimates/Pi_ss_calibration.csv."
"invPi","1/Π̄","Inflation / steady state","Fixed / derived",0.955442792204367,0.953293162156269,"DERIVED FROM Pi_ss","invPi = 1 / Pi_ss","Derived from Pi_ss","Derived from Pi_ss","Model identity",,,"Mechanically derived from calibrated Pi_ss. Not independently estimated or calibrated."
"rhotau","ρ_τ","Fiscal policy","Estimated",0.85,,"TODO","","","","",,,""
"rhoG","ρ_G","Fiscal policy","Estimated",0.8,,"TODO","","","","",,,""
"rhoIG","ρ_IG","Fiscal policy / II-PND","Estimated",0.95,,"TODO","","","","",,,""
"rhoa","ρ_a","Technology","Estimated",0.9,,"TODO","","","","",,,""
"rhoystar","ρ_y*","Foreign activity","Estimated",0.85,,"TODO","","","","",,,""
"rdom_ss","r̄_d","Domestic debt / steady state","Calibrated",0.01,,"TODO","","","","",,,""
"bbar","b̄","Domestic debt / steady state","Calibrated",0.2,,"TODO","","","","",,,""
